Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2004-08-19,2.4991331100463867,,-0.008469104766845703,897427216,Google,GOOG,0,hold,0
2004-08-20,2.697638988494873,,-0.18181896209716797,458857488,Google,GOOG,0,hold,0
2004-08-23,2.7247869968414307,2.640519698460897,0.03362393379211426,366857939,Google,GOOG,0,hold,0
2004-08-24,2.611959934234619,2.678128639856974,0.158655166625977,306396159,Google,GOOG,0,hold,0
2004-08-25,2.640104055404663,2.6589503288269043,-0.025902986526489258,184645512,Google,GOOG,0,hold,0
2004-08-26,2.687675952911377,2.6465799808502197,-0.07372403144836426,142572401,Google,GOOG,0,hold,0
2004-08-27,2.643840074539185,2.6572066942850747,0.04856801033019975,124826132,Google,GOOG,0,hold,0
2004-08-30,2.540726900100708,2.6240809758504233,0.08144402503967285,104429967,Google,GOOG,0,hold,0
2004-08-31,2.5496931076049805,2.5780866940816245,-0.0017430782318115234,98825037,Google,GOOG,0,hold,0
2004-09-01,2.496891021728516,2.5291036764780683,0.061021089553832564,183633734,Google,GOOG,0,hold,0
2004-09-02,2.528273105621338,2.5249524116516113,-0.05778312683105469,303810504,Google,GOOG,2,buy,1
2004-09-03,2.490912914276123,2.5053590138753257,0.02341318130493164,103538639,Google,GOOG,2,buy,1
2004-09-07,2.5300168991088867,2.5164009730021157,-0.01419687271118164,117506800,Google,GOOG,2,buy,1
2004-09-08,2.547950029373169,2.5229599475860596,-0.0388550758361812,100186120,Google,GOOG,0,hold,0
2004-09-09,2.548198938369751,2.542055288950602,0.005479097366333008,81620792,Google,GOOG,0,hold,0
2004-09-10,2.6234169006347656,2.573188622792562,-0.09290194511413574,174804764,Google,GOOG,0,hold,0
2004-09-13,2.677464008331299,2.6163599491119385,-0.02166891098022461,157628624,Google,GOOG,0,hold,0
2004-09-14,2.7768421173095703,2.6925743420918784,-0.10062313079833984,217608605,Google,GOOG,0,hold,0
2004-09-15,2.789544105529785,2.7479500770568848,-0.035865068435668945,215279909,Google,GOOG,0,hold,0
2004-09-16,2.8386099338531494,2.8016653855641684,-0.04059791564941362,186207345,Google,GOOG,0,hold,0
2004-09-17,2.9262819290161133,2.851478656133016,-0.07646393775939941,190350817,Google,GOOG,0,hold,0
2004-09-20,2.9728569984436035,2.9125829537709556,-0.06002497673034668,213585582,Google,GOOG,0,hold,0
2004-09-21,2.9349989891052246,2.9447126388549805,0.04906606674194336,145262446,Google,GOOG,0,hold,0
2004-09-22,2.9484479427337646,2.9521013100941977,-0.02440786361694336,152344894,Google,GOOG,0,hold,0
2004-09-23,3.009221076965332,2.9642226696014404,-0.049314975738525835,171524515,Google,GOOG,0,hold,0
2004-09-24,2.984563112258911,2.9807440439860025,0.02764582633972168,183336625,Google,GOOG,0,hold,0
2004-09-27,2.945460081100464,2.979748090108236,0.03237795829772949,141994242,Google,GOOG,0,hold,0
2004-09-28,3.1596570014953613,3.029893398284912,-0.13848090171813965,340190355,Google,GOOG,0,hold,0
2004-09-29,3.264763116836548,3.123293399810791,-0.10909104347229004,613229953,Google,GOOG,0,hold,0
2004-09-30,3.227900981903076,3.217440366744995,0.007472038269042969,276468402,Google,GOOG,0,hold,0
2004-10-01,3.302123069763184,3.2649290561676025,-0.04433417320251509,303934969,Google,GOOG,0,hold,0
2004-10-04,3.3638908863067627,3.2979716459910073,0.004733085632324219,261693228,Google,GOOG,0,hold,0
2004-10-05,3.4463319778442383,3.370781977971395,-0.09240293502807617,300887589,Google,GOOG,0,hold,0
2004-10-06,3.414202928543091,3.4081419308980307,0.011706113815307617,268900140,Google,GOOG,0,hold,0
2004-10-07,3.458287000656128,3.439607302347819,-0.04806900024414018,283643194,Google,GOOG,0,hold,0
2004-10-08,3.430392026901245,3.4342939853668213,0.0246579647064209,222442656,Google,GOOG,0,hold,0
2004-10-11,3.368872880935669,3.4191839694976807,0.043337106704711914,210437827,Google,GOOG,0,hold,0
2004-10-12,3.422173023223877,3.4071459770202637,-0.07372403144836426,234419380,Google,GOOG,0,hold,0
2004-10-13,3.509346008300781,3.433463970820109,0.060273885726929155,397203256,Google,GOOG,0,hold,0
2004-10-14,3.536742925643921,3.4894206523895264,-0.024657011032104492,209835578,Google,GOOG,0,hold,0
2004-10-15,3.589296102523804,3.545128345489502,0.020423889160155806,265150137,Google,GOOG,0,hold,0
2004-10-18,3.715075016021729,3.6137046813964844,-0.1484439373016362,282061287,Google,GOOG,0,hold,0
2004-10-19,3.6846890449523926,3.663020054499308,0.06376099586486816,363918964,Google,GOOG,0,hold,0
2004-10-20,3.499134063720703,3.6329660415649414,0.18779587745666504,456613107,Google,GOOG,0,hold,0
2004-10-21,3.7205541133880615,3.6347924073537192,-0.12403512001037642,585767401,Google,GOOG,0,hold,0
2004-10-22,4.294652938842773,3.838113705317179,-0.0470738410949707,1481207196,Google,GOOG,0,hold,0
2004-10-25,4.667504787445068,4.227570613225301,-0.2739729881286621,1315480331,Google,GOOG,0,hold,0
2004-10-26,4.5280280113220215,4.496728579203288,0.11307621002197266,895628499,Google,GOOG,0,hold,0
2004-10-27,4.6318888664245605,4.609140555063884,-0.0809469223022461,536262538,Google,GOOG,0,hold,0
2004-10-28,4.814454078674316,4.6581236521403,-0.16488218307495117,596097978,Google,GOOG,0,hold,0
2004-10-29,4.748202800750732,4.731515248616536,0.20547914505004883,849672890,Google,GOOG,1,sell,1
2004-11-01,4.882449150085449,4.815035343170166,-0.0617680549621582,490828877,Google,GOOG,1,sell,1
2004-11-02,4.85355806350708,4.828070004781087,0.09738492965698331,455553149,Google,GOOG,1,sell,1
2004-11-03,4.773856163024902,4.836621125539144,0.16214275360107422,557630330,Google,GOOG,0,hold,0
2004-11-04,4.60025691986084,4.742557048797607,0.09315109252929688,578544429,Google,GOOG,0,hold,0
2004-11-05,4.217939853668213,4.530684312184651,0.3145713806152344,796297573,Google,GOOG,0,hold,0
2004-11-08,4.297640800476074,4.371945858001709,-0.04034757614135742,449349985,Google,GOOG,0,hold,0
2004-11-09,4.201751232147217,4.239110628763835,0.13449573516845703,444226854,Google,GOOG,0,hold,0
2004-11-10,4.180829048156738,4.22674036026001,0.06998777389526367,427355853,Google,GOOG,0,hold,0
2004-11-11,4.558413982391357,4.3136647542317705,-0.34595298767089844,601666773,Google,GOOG,0,hold,0
2004-11-12,4.533009052276611,4.424084027608235,0.08044910430908203,672354740,Google,GOOG,0,hold,0
2004-11-15,4.604491233825684,4.565304756164551,-0.11008739471435547,477844390,Google,GOOG,0,hold,0
2004-11-16,4.297391891479492,4.478297392527263,0.12353706359863281,839832142,Google,GOOG,0,hold,0
