Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2000-01-03,0.8948025107383728,,0.008363008276917605,30091200,NVIDIA,NVDA,0,hold,0
2000-01-04,0.8709096908569336,,0.008362131978166043,30048000,NVIDIA,NVDA,0,hold,0
2000-01-05,0.8422377705574036,0.8693166573842367,0.003583770832797706,18835200,NVIDIA,NVDA,0,hold,0
2000-01-06,0.7872832417488098,0.8334769010543823,0.054954661411517836,12048000,NVIDIA,NVDA,0,hold,0
2000-01-07,0.8004247546195984,0.8099819223086039,-0.016725144499896705,7118400,NVIDIA,NVDA,0,hold,0
2000-01-10,0.8267074823379517,0.8048051595687866,-0.02389356307261714,23985600,NVIDIA,NVDA,0,hold,0
2000-01-11,0.7932561635971069,0.806796133518219,0.028671920069745616,14812800,NVIDIA,NVDA,0,hold,0
2000-01-12,0.7729471921920776,0.7976369460423788,0.020308910576421257,12355200,NVIDIA,NVDA,0,hold,0
2000-01-13,0.8052029013633728,0.7904687523841858,-0.033450280027775836,13219200,NVIDIA,NVDA,0,hold,0
2000-01-14,0.839848518371582,0.8059995373090109,-0.02269896333330579,60456000,NVIDIA,NVDA,0,hold,0
2000-01-18,0.8756881952285767,0.8402465383211771,-0.02508815003322884,26164800,NVIDIA,NVDA,0,hold,0
2000-01-19,0.867326021194458,0.8609542449315389,0.011945904219602732,16468800,NVIDIA,NVDA,0,hold,0
2000-01-20,0.8649359345436096,0.8693167169888815,0.009557598032798986,17956800,NVIDIA,NVDA,0,hold,0
2000-01-21,0.8553794026374817,0.8625471194585165,0.007167543877993454,54427200,NVIDIA,NVDA,0,hold,0
2000-01-24,0.8171499371528625,0.845821758111318,0.0657068653768682,25694400,NVIDIA,NVDA,0,hold,0
2000-01-25,0.8099821209907532,0.8275038202603658,0.01075131300177079,23712000,NVIDIA,NVDA,0,hold,0
2000-01-26,0.7765309810638428,0.8012210130691528,0.03345115495184414,23246400,NVIDIA,NVDA,0,hold,0
2000-01-27,0.7359121441841125,0.7741417487462362,0.046592515011234514,45820800,NVIDIA,NVDA,0,hold,0
2000-01-28,0.714408814907074,0.7422839800516764,0.011946779095035054,19444800,NVIDIA,NVDA,2,buy,1
2000-01-31,0.70843505859375,0.7195853392283121,0.009557599229807479,18240000,NVIDIA,NVDA,2,buy,1
2000-02-01,0.725161075592041,0.7160016496976217,-0.015530551866274611,9297600,NVIDIA,NVDA,2,buy,1
2000-02-02,0.7454699873924255,0.7263553738594055,-0.016725142345736632,14904000,NVIDIA,NVDA,0,hold,0
2000-02-03,0.7574167251586914,0.7426825960477194,0.011946779576239908,10824000,NVIDIA,NVDA,0,hold,0
2000-02-04,0.7753363251686096,0.7594076792399088,0.005973826270990412,12369600,NVIDIA,NVDA,0,hold,0
2000-02-07,0.727550208568573,0.753434419631958,0.051370014317460466,21748800,NVIDIA,NVDA,0,hold,0
2000-02-08,0.7621949315071106,0.755027155081431,-0.01672513799587605,46881600,NVIDIA,NVDA,0,hold,0
2000-02-09,0.7813102602958679,0.7570184667905172,0.009556723369174014,58905600,NVIDIA,NVDA,0,hold,0
2000-02-10,0.9413949251174928,0.8283000389734904,-0.11229849043247897,97008000,NVIDIA,NVDA,0,hold,0
2000-02-11,0.9557308554649352,0.8928120136260986,0.032255687778854014,42379200,NVIDIA,NVDA,0,hold,0
