Model,Type,ACCUR,PREC,RECC,F1,BAL_ACCUR
LogisticRegression,Train,0.5396147403685092,0.5531819203957724,0.4120603015075377,0.4723048862436402,0.5396147403685092
LogisticRegression,Test,0.48075909330521877,0.1510365251727542,0.5503597122302158,0.23702556158017044,0.5095838091725508
DecisionTreeClassifier,Train,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,Test,0.5382182393252504,0.175,0.579136690647482,0.2687813021702838,0.5551643922662981
ExtraTreeClassifier,Train,1.0,1.0,1.0,1.0,1.0
ExtraTreeClassifier,Test,0.5081707959936742,0.1497326203208556,0.5035971223021583,0.2308326463314097,0.5062766340355758
AdaBoostClassifier,Train,0.5886934673366834,0.5939662821650399,0.5606365159128979,0.5768203360620423,0.5886934673366835
AdaBoostClassifier,Test,0.4496573537163943,0.1586452762923351,0.6402877697841727,0.2542857142857142,0.5286058984807213
GradientBoostingClassifier,Train,0.6685929648241206,0.6635255889520715,0.6840871021775544,0.6736494845360825,0.6685929648241207
GradientBoostingClassifier,Test,0.580917237743806,0.20389461626575028,0.6402877697841727,0.30929626411815814,0.6055052190489734
RandomForestClassifier,Train,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier,Test,0.5909330521876648,0.19781553398058252,0.5863309352517986,0.2958257713248639,0.589027110615399
